interest_expense,date,total_assets,state,bank_id,gross_loans,interest_income,net_loans,charge_offs,total_deposits,id,net_interest_margin,charge_off_rate
555.0,2010-03-31,201546,MINNESOTA,10159,117072,2387.0,115124,63.43269601630944,181490,10159_20100331,0.0091,0.0005
219.0,2010-03-31,84635,MINNESOTA,10160,45375,995.0,44421,58.78126240571655,75570,10160_20100331,0.0092,0.0013
436.0,2010-03-31,102447,MINNESOTA,10161,77237,1349.0,75955,86.61367938513467,87694,10161_20100331,0.0089,0.0011
153.0,2010-03-31,56310,MINNESOTA,10162,34594,652.0,34170,67.16725964657087,50873,10162_20100331,0.0089,0.0019
325.0,2010-03-31,99394,MINNESOTA,10163,73485,1325.0,72364,83.13974195475592,87039,10163_20100331,0.0101,0.0011
698.0,2010-03-31,173605,MINNESOTA,10165,138939,2524.0,137163,89.62500245032376,153041,10165_20100331,0.0105,0.0006
374.0,2010-03-31,180600,MINNESOTA,10166,114837,1998.0,112786,71.78380717799884,157119,10166_20100331,0.009,0.0006
573.0,2010-03-31,171935,MINNESOTA,10167,69922,1893.0,68985,46.91325281540721,147048,10167_20100331,0.0077,0.0007
500.0,2010-03-31,153957,MINNESOTA,10168,104947,1863.0,101931,80.79053952301315,126167,10168_20100331,0.0089,0.0008
228.0,2010-03-31,79366,MINNESOTA,10169,57757,985.0,55600,83.46969719715963,66611,10169_20100331,0.0095,0.0014
123.0,2010-03-31,44532,MINNESOTA,10170,28375,506.0,27878,71.69345505979169,38885,10170_20100331,0.0086,0.0025
350.0,2010-03-31,102215,MINNESOTA,10171,58914,1103.0,57712,63.99716120161013,90179,10171_20100331,0.0074,0.0011
146.0,2010-03-31,44911,MINNESOTA,10173,29895,549.0,29640,78.72300868502829,37651,10173_20100331,0.009,0.0026
175.0,2010-03-31,43000,MINNESOTA,10174,30241,520.0,29870,76.60742222564181,38991,10174_20100331,0.008,0.0025
192.0,2010-03-31,101352,MINNESOTA,10175,57792,1067.0,55640,63.18060523476977,88065,10175_20100331,0.0086,0.0011
123.0,2010-03-31,39338,MINNESOTA,10176,33316,550.0,32805,109.77813472542917,29883,10176_20100331,0.0109,0.0033
113.0,2010-03-31,35455,MINNESOTA,10178,23998,431.0,23616,76.33577916410769,30937,10178_20100331,0.009,0.0032
429.0,2010-03-31,107977,MINNESOTA,10179,80230,1484.0,77953,96.31913211090793,80932,10179_20100331,0.0098,0.0012
82.0,2010-03-31,37621,MINNESOTA,10184,27178,478.0,26993,96.44145914466398,27989,10184_20100331,0.0105,0.0035
107.0,2010-03-31,36729,MINNESOTA,10185,20610,485.0,20005,60.84060703749886,32881,10185_20100331,0.0103,0.003
